person_id,name,age,city,role
P00001,Person_00001,33,Indore,Suspect
P00002,Person_00002,25,Delhi,Suspect
P00003,Person_00003,51,Ahmedabad,Suspect
P00004,Person_00004,61,Hyderabad,Person of Interest
P00005,Person_00005,60,Indore,Suspect
P00006,Person_00006,49,Hyderabad,Suspect
P00007,Person_00007,48,Pune,Suspect
P00008,Person_00008,27,Kolkata,Person of Interest
P00009,Person_00009,49,Jaipur,Suspect
P00010,Person_00010,31,Jaipur,Associate
P00011,Person_00011,29,Rajkot,Associate
P00012,Person_00012,50,Bengaluru,Person of Interest
P00013,Person_00013,48,Mumbai,Associate
P00014,Person_00014,49,Jaipur,Associate
P00015,Person_00015,56,Hyderabad,Associate
P00016,Person_00016,50,Delhi,Associate
P00017,Person_00017,60,Mumbai,Suspect
P00018,Person_00018,22,Jaipur,Associate
P00019,Person_00019,61,Delhi,Associate
P00020,Person_00020,32,Indore,Suspect
P00021,Person_00021,62,Rajkot,Person of Interest
P00022,Person_00022,62,Vadodara,Suspect
P00023,Person_00023,21,Rajkot,Person of Interest
P00024,Person_00024,39,Kolkata,Suspect
P00025,Person_00025,33,Kolkata,Associate
P00026,Person_00026,52,Jaipur,Person of Interest
P00027,Person_00027,40,Indore,Suspect
P00028,Person_00028,53,Mumbai,Associate
P00029,Person_00029,59,Indore,Witness
P00030,Person_00030,39,Vadodara,Associate
P00031,Person_00031,25,Ahmedabad,Person of Interest
P00032,Person_00032,58,Mumbai,Suspect
P00033,Person_00033,25,Jaipur,Suspect
P00034,Person_00034,49,Vadodara,Suspect
P00035,Person_00035,37,Ahmedabad,Witness
P00036,Person_00036,35,Indore,Person of Interest
P00037,Person_00037,60,Ahmedabad,Associate
P00038,Person_00038,45,Hyderabad,Associate
P00039,Person_00039,58,Delhi,Person of Interest
P00040,Person_00040,38,Delhi,Associate
P00041,Person_00041,52,Kolkata,Person of Interest
P00042,Person_00042,46,Pune,Associate
P00043,Person_00043,33,Vadodara,Person of Interest
P00044,Person_00044,40,Pune,Person of Interest
P00045,Person_00045,53,Jaipur,Suspect
P00046,Person_00046,30,Vadodara,Suspect
P00047,Person_00047,28,Jaipur,Associate
P00048,Person_00048,34,Vadodara,Suspect
P00049,Person_00049,53,Kolkata,Person of Interest
P00050,Person_00050,25,Rajkot,Suspect
P00051,Person_00051,46,Mumbai,Suspect
P00052,Person_00052,64,Pune,Associate
P00053,Person_00053,32,Kolkata,Witness
P00054,Person_00054,40,Bengaluru,Suspect
P00055,Person_00055,33,Kolkata,Suspect
P00056,Person_00056,64,Hyderabad,Suspect
P00057,Person_00057,22,Surat,Associate
P00058,Person_00058,25,Mumbai,Associate
P00059,Person_00059,33,Bengaluru,Suspect
P00060,Person_00060,41,Rajkot,Associate
P00061,Person_00061,58,Vadodara,Witness
P00062,Person_00062,46,Indore,Associate
P00063,Person_00063,47,Hyderabad,Person of Interest
P00064,Person_00064,27,Hyderabad,Suspect
P00065,Person_00065,64,Jaipur,Suspect
P00066,Person_00066,42,Indore,Associate
P00067,Person_00067,64,Vadodara,Person of Interest
P00068,Person_00068,50,Mumbai,Person of Interest
P00069,Person_00069,46,Kolkata,Associate
P00070,Person_00070,30,Rajkot,Suspect
P00071,Person_00071,35,Pune,Suspect
P00072,Person_00072,38,Surat,Person of Interest
P00073,Person_00073,33,Delhi,Person of Interest
P00074,Person_00074,39,Mumbai,Associate
P00075,Person_00075,31,Rajkot,Suspect
P00076,Person_00076,25,Delhi,Associate
P00077,Person_00077,54,Mumbai,Person of Interest
P00078,Person_00078,58,Indore,Suspect
P00079,Person_00079,54,Hyderabad,Suspect
P00080,Person_00080,23,Hyderabad,Associate
P00081,Person_00081,49,Delhi,Suspect
P00082,Person_00082,44,Mumbai,Person of Interest
P00083,Person_00083,29,Mumbai,Suspect
P00084,Person_00084,58,Mumbai,Associate
P00085,Person_00085,52,Jaipur,Suspect
P00086,Person_00086,35,Kolkata,Person of Interest
P00087,Person_00087,53,Bengaluru,Suspect
P00088,Person_00088,23,Indore,Person of Interest
P00089,Person_00089,51,Rajkot,Suspect
P00090,Person_00090,41,Indore,Suspect
P00091,Person_00091,43,Pune,Suspect
P00092,Person_00092,59,Jaipur,Person of Interest
P00093,Person_00093,32,Delhi,Associate
P00094,Person_00094,56,Hyderabad,Suspect
P00095,Person_00095,35,Jaipur,Suspect
P00096,Person_00096,52,Pune,Suspect
P00097,Person_00097,30,Bengaluru,Suspect
P00098,Person_00098,41,Indore,Suspect
P00099,Person_00099,60,Surat,Suspect
P00100,Person_00100,56,Bengaluru,Associate
P00101,Person_00101,22,Bengaluru,Suspect
P00102,Person_00102,47,Delhi,Associate
P00103,Person_00103,54,Mumbai,Associate
P00104,Person_00104,34,Hyderabad,Suspect
P00105,Person_00105,32,Pune,Associate
P00106,Person_00106,26,Bengaluru,Person of Interest
P00107,Person_00107,58,Mumbai,Person of Interest
P00108,Person_00108,22,Hyderabad,Person of Interest
P00109,Person_00109,63,Vadodara,Suspect
P00110,Person_00110,63,Surat,Suspect
P00111,Person_00111,28,Delhi,Suspect
P00112,Person_00112,57,Surat,Person of Interest
P00113,Person_00113,37,Mumbai,Suspect
P00114,Person_00114,33,Hyderabad,Associate
P00115,Person_00115,49,Indore,Suspect
P00116,Person_00116,41,Ahmedabad,Person of Interest
P00117,Person_00117,56,Pune,Associate
P00118,Person_00118,33,Delhi,Associate
P00119,Person_00119,43,Vadodara,Person of Interest
P00120,Person_00120,54,Surat,Suspect
P00121,Person_00121,42,Indore,Suspect
P00122,Person_00122,29,Indore,Suspect
P00123,Person_00123,55,Mumbai,Person of Interest
P00124,Person_00124,64,Pune,Suspect
P00125,Person_00125,33,Bengaluru,Associate
P00126,Person_00126,38,Delhi,Suspect
P00127,Person_00127,33,Hyderabad,Associate
P00128,Person_00128,46,Bengaluru,Person of Interest
P00129,Person_00129,23,Ahmedabad,Suspect
P00130,Person_00130,37,Rajkot,Person of Interest
P00131,Person_00131,51,Surat,Suspect
P00132,Person_00132,63,Vadodara,Suspect
P00133,Person_00133,24,Jaipur,Suspect
P00134,Person_00134,52,Rajkot,Witness
P00135,Person_00135,46,Indore,Suspect
P00136,Person_00136,22,Mumbai,Associate
P00137,Person_00137,29,Hyderabad,Associate
P00138,Person_00138,39,Bengaluru,Witness
P00139,Person_00139,58,Hyderabad,Associate
P00140,Person_00140,57,Bengaluru,Suspect
P00141,Person_00141,56,Hyderabad,Person of Interest
P00142,Person_00142,47,Kolkata,Suspect
P00143,Person_00143,57,Ahmedabad,Person of Interest
P00144,Person_00144,36,Hyderabad,Suspect
P00145,Person_00145,44,Pune,Person of Interest
P00146,Person_00146,47,Pune,Suspect
P00147,Person_00147,62,Hyderabad,Associate
P00148,Person_00148,33,Hyderabad,Suspect
P00149,Person_00149,55,Ahmedabad,Associate
P00150,Person_00150,34,Ahmedabad,Suspect
P00151,Person_00151,52,Pune,Suspect
P00152,Person_00152,43,Bengaluru,Suspect
P00153,Person_00153,26,Jaipur,Associate
P00154,Person_00154,50,Jaipur,Suspect
P00155,Person_00155,33,Mumbai,Witness
P00156,Person_00156,42,Pune,Suspect
P00157,Person_00157,52,Vadodara,Suspect
P00158,Person_00158,37,Surat,Suspect
P00159,Person_00159,62,Ahmedabad,Associate
P00160,Person_00160,48,Delhi,Suspect
P00161,Person_00161,38,Kolkata,Associate
P00162,Person_00162,58,Indore,Associate
P00163,Person_00163,36,Vadodara,Suspect
P00164,Person_00164,28,Kolkata,Suspect
P00165,Person_00165,47,Bengaluru,Associate
P00166,Person_00166,24,Ahmedabad,Associate
P00167,Person_00167,60,Pune,Suspect
P00168,Person_00168,42,Vadodara,Suspect
P00169,Person_00169,52,Kolkata,Suspect
P00170,Person_00170,22,Rajkot,Suspect
P00171,Person_00171,51,Mumbai,Associate
P00172,Person_00172,33,Mumbai,Suspect
P00173,Person_00173,46,Ahmedabad,Associate
P00174,Person_00174,49,Mumbai,Associate
P00175,Person_00175,47,Rajkot,Person of Interest
P00176,Person_00176,63,Delhi,Person of Interest
P00177,Person_00177,34,Delhi,Suspect
P00178,Person_00178,56,Pune,Suspect
P00179,Person_00179,39,Vadodara,Associate
P00180,Person_00180,57,Kolkata,Suspect
P00181,Person_00181,61,Jaipur,Associate
P00182,Person_00182,40,Surat,Suspect
P00183,Person_00183,28,Ahmedabad,Associate
P00184,Person_00184,45,Mumbai,Person of Interest
P00185,Person_00185,38,Vadodara,Associate
P00186,Person_00186,21,Surat,Suspect
P00187,Person_00187,45,Ahmedabad,Person of Interest
P00188,Person_00188,51,Delhi,Suspect
P00189,Person_00189,25,Jaipur,Suspect
P00190,Person_00190,62,Kolkata,Suspect
P00191,Person_00191,26,Kolkata,Suspect
P00192,Person_00192,22,Hyderabad,Associate
P00193,Person_00193,34,Mumbai,Suspect
P00194,Person_00194,42,Mumbai,Suspect
P00195,Person_00195,53,Jaipur,Associate
P00196,Person_00196,37,Ahmedabad,Witness
P00197,Person_00197,31,Jaipur,Suspect
P00198,Person_00198,63,Hyderabad,Person of Interest
P00199,Person_00199,25,Bengaluru,Suspect
P00200,Person_00200,44,Bengaluru,Person of Interest
P00201,Person_00201,42,Vadodara,Suspect
P00202,Person_00202,42,Vadodara,Suspect
P00203,Person_00203,54,Bengaluru,Associate
P00204,Person_00204,36,Jaipur,Suspect
P00205,Person_00205,45,Delhi,Suspect
P00206,Person_00206,38,Vadodara,Suspect
P00207,Person_00207,23,Ahmedabad,Associate
P00208,Person_00208,34,Jaipur,Suspect
P00209,Person_00209,62,Hyderabad,Associate
P00210,Person_00210,57,Indore,Associate
P00211,Person_00211,26,Hyderabad,Person of Interest
P00212,Person_00212,43,Surat,Suspect
P00213,Person_00213,63,Jaipur,Witness
P00214,Person_00214,40,Bengaluru,Person of Interest
P00215,Person_00215,49,Bengaluru,Associate
P00216,Person_00216,44,Mumbai,Associate
P00217,Person_00217,54,Surat,Suspect
P00218,Person_00218,29,Surat,Witness
P00219,Person_00219,57,Ahmedabad,Associate
P00220,Person_00220,29,Indore,Person of Interest
P00221,Person_00221,44,Surat,Suspect
P00222,Person_00222,35,Bengaluru,Suspect
P00223,Person_00223,55,Hyderabad,Person of Interest
P00224,Person_00224,35,Rajkot,Suspect
P00225,Person_00225,64,Indore,Suspect
P00226,Person_00226,28,Kolkata,Person of Interest
P00227,Person_00227,26,Rajkot,Suspect
P00228,Person_00228,21,Ahmedabad,Associate
P00229,Person_00229,33,Mumbai,Witness
P00230,Person_00230,30,Surat,Person of Interest
P00231,Person_00231,24,Indore,Suspect
P00232,Person_00232,47,Jaipur,Person of Interest
P00233,Person_00233,59,Pune,Suspect
P00234,Person_00234,22,Kolkata,Person of Interest
P00235,Person_00235,40,Pune,Associate
P00236,Person_00236,60,Surat,Associate
P00237,Person_00237,58,Rajkot,Suspect
P00238,Person_00238,54,Delhi,Suspect
P00239,Person_00239,32,Delhi,Suspect
P00240,Person_00240,56,Ahmedabad,Suspect
P00241,Person_00241,22,Delhi,Suspect
P00242,Person_00242,44,Hyderabad,Suspect
P00243,Person_00243,64,Kolkata,Person of Interest
P00244,Person_00244,36,Mumbai,Person of Interest
P00245,Person_00245,22,Rajkot,Suspect
P00246,Person_00246,26,Mumbai,Suspect
P00247,Person_00247,56,Bengaluru,Witness
P00248,Person_00248,55,Ahmedabad,Person of Interest
P00249,Person_00249,53,Pune,Associate
P00250,Person_00250,33,Surat,Associate
P00251,Person_00251,51,Jaipur,Suspect
P00252,Person_00252,45,Ahmedabad,Person of Interest
P00253,Person_00253,26,Surat,Suspect
P00254,Person_00254,51,Jaipur,Suspect
P00255,Person_00255,56,Pune,Associate
P00256,Person_00256,49,Pune,Associate
P00257,Person_00257,38,Hyderabad,Associate
P00258,Person_00258,42,Hyderabad,Suspect
P00259,Person_00259,60,Hyderabad,Suspect
P00260,Person_00260,23,Bengaluru,Suspect
P00261,Person_00261,36,Bengaluru,Suspect
P00262,Person_00262,53,Kolkata,Associate
P00263,Person_00263,34,Indore,Person of Interest
P00264,Person_00264,53,Mumbai,Associate
P00265,Person_00265,33,Rajkot,Suspect
P00266,Person_00266,21,Kolkata,Associate
P00267,Person_00267,36,Rajkot,Person of Interest
P00268,Person_00268,63,Vadodara,Associate
P00269,Person_00269,32,Bengaluru,Associate
P00270,Person_00270,64,Kolkata,Person of Interest
